Nombre d'enregistrements,Position,Aerialswon,Age,Apps,Assists,Club,Goals,Image,Mins,Motm,Perfattack,Perfdef,Perfposs,player (Sheet1 players!score),player (Sheet1 players!stats),Player,Points,Ps,rank (Sheet1 players!stats),Rank,Rating,Red,Spg,Team,Total,Yel
1,Forward,0.4,25,34(2),10,Liverpool,32,//img.fifa.com/images/flags/4/egy.png,2922,8,1601,-31,-151,Mohamed Salah,Mohamed Salah,Mohamed Salah,636,76.7,1,3,7.69,,4,Egypt,1419,1
1,Midfielder,0.2,27,28(6),4,Chelsea,12,//img.fifa.com/images/flags/4/bel.png,2433,9,1056,64,205,Eden Hazard,Eden Hazard,Eden Hazard,1346,83.6,2,4,7.69,,2.1,Belgium,1375,2
1,Midfielder,0.4,26,36(1),16,Manchester City,8,//img.fifa.com/images/flags/4/bel.png,3085,8,1103,-129,331,Kevin De Bruyne,Kevin De Bruyne,Kevin De Bruyne,1346,83.4,3,2,7.8,,2.5,Belgium,1305,2
1,Forward,1.6,24,35(2),2,Tottenham,30,//img.fifa.com/images/flags/4/eng.png,3083,9,1373,-7,-165,Harry Kane,Harry Kane,Harry Kane,1040,71.2,4,5,7.6,,5,United Kingdom,1200,5
1,Midfielder,0.6,32,28(1),11,Manchester City,9,//img.fifa.com/images/flags/4/esp.png,2437,4,711,-87,511,David Silva,David Silva,David Silva,1162,88.9,5,6,7.58,,1.9,Spain,1136,5
1,Defender,2.3,30,33(1),,Manchester City,4,//img.fifa.com/images/flags/4/arg.png,2968,5,233,222,612,Nicolas Otamendi,Nicolas Otamendi,Nicolas Otamendi,1254,91.9,6,33,7.13,,0.9,Argentina,1068,9
1,Forward,0.4,30,22(3),6,Manchester City,21,//img.fifa.com/images/flags/4/arg.png,1969,4,1081,-40,9,Sergio Aguero,Sergio Aguero,Sergio Aguero,1254,82.8,7,1,7.81,,3.8,Argentina,1050,2
1,Defender,3.3,31,36,,Tottenham,,//img.fifa.com/images/flags/4/bel.png,3205,3,204,499,318,Jan Vertonghen,Jan Vertonghen,Jan Vertonghen,1346,86.3,8,22,7.26,,0.7,Belgium,1022,4
1,Forward,0.2,23,29(4),11,Manchester City,18,//img.fifa.com/images/flags/4/eng.png,2593,4,959,-78,122,Raheem Sterling,Raheem Sterling,Raheem Sterling,1040,84,9,7,7.55,1,2.6,United Kingdom,1003,3
1,Midfielder,0.5,26,37,10,Tottenham,10,//img.fifa.com/images/flags/4/den.png,3226,4,932,-16,50,Christian Eriksen,Christian Eriksen,Christian Eriksen,1054,82.4,10,11,7.4,,2.6,Denmark,965,
1,Midfielder,,29,7,4,Arsenal,1,//img.fifa.com/images/flags/4/ger.png,609,1,493,-57,513,Mesut Ozil,Mesut Ozil,Mesut Ozil,1544,86.4,11,12,7.7,,1,Germany,949,
1,Midfielder,1.4,32,9,4,Chongqing Lifan,2,//img.fifa.com/images/flags/4/bra.png,809,1,413,2,459,Fernandinho,Fernandinho,Fernandinho,1384,75.4,12,12,7.69,,2.6,Brazil,873,
1,Defender,2.2,28,37,6,Chelsea,2,//img.fifa.com/images/flags/4/esp.png,3330,1,203,362,294,Cesar Azpilicueta,Cesar Azpilicueta,Cesar Azpilicueta,1162,86.7,13,29,7.18,,0.4,Spain,871,1
1,Midfielder,1.9,25,25(2),10,Manchester United,6,//img.fifa.com/images/flags/4/fra.png,2151,4,686,7,120,Paul Pogba,Paul Pogba,Paul Pogba,1166,85.3,14,9,7.48,1,2.8,France,824,5
1,Midfielder,,31,6(3),,Palmeiras,6,//img.fifa.com/images/flags/4/bra.png,550,2,576,72,103,Willian,Willian,Willian,1384,80,16,32,7.27,,2.9,Brazil,804,1
1,Goalkeeper,0.3,24,37,,Manchester City,,//img.fifa.com/images/flags/4/bra.png,3197,1,3,459,329,Ederson,Ederson,Ederson,1384,85.3,17,194,6.68,,,Brazil,791,1
1,Midfielder,1.5,25,5(1),,Arsenal,1,//img.fifa.com/images/flags/4/sui.png,495,,431,-9,339,Granit Xhaka,Granit Xhaka,Granit Xhaka,1179,91.2,19,31,7.47,,1.2,Switzerland,761,1
1,Midfielder,0.5,27,34,1,Chelsea,1,//img.fifa.com/images/flags/4/fra.png,2998,1,306,131,270,N'Golo Kante,N'Golo Kante,N'Golo Kante,1166,89.3,23,24,7.25,,0.7,France,712,3
1,Defender,1.6,32,7,,Arsenal,1,//img.fifa.com/images/flags/4/esp.png,613,,302,135,271,Nacho Monreal,Nacho Monreal,Nacho Monreal,1162,87.3,24,218,6.97,,0.9,Spain,708,2
1,Midfielder,1,28,21(1),2,Manchester City,1,//img.fifa.com/images/flags/4/eng.png,1746,1,248,72,318,Fabian Delph,Fabian Delph,Fabian Delph,1040,93,28,31,7.16,,0.5,United Kingdom,637,2
1,Defender,2.5,26,23,,Manchester United,,//img.fifa.com/images/flags/4/eng.png,1975,2,2,428,201,Phil Jones,Phil Jones,Phil Jones,1040,91.2,30,27,7.21,,0.1,United Kingdom,630,2
1,Defender,2.2,28,32,6,Manchester City,,//img.fifa.com/images/flags/4/eng.png,2787,,112,184,329,Kyle Walker,Kyle Walker,Kyle Walker,1040,87.8,32,53,7.05,1,0.4,United Kingdom,625,2
1,Midfielder,1.6,29,35(1),1,Manchester United,1,//img.fifa.com/images/flags/4/srb.png,3119,,234,161,209,Nemanja Matic,Nemanja Matic,Nemanja Matic,732,87.7,33,28,7.2,,0.5,Serbia,614,6
1,Forward,1.2,26,32(5),7,Liverpool,15,//img.fifa.com/images/flags/4/bra.png,2778,3,953,-87,-262,Roberto Firmino,Roberto Firmino,Roberto Firmino,1384,72.6,35,12,7.39,,2.3,Brazil,604,1
1,Defender,3.6,28,24(5),1,Liverpool,2,//img.fifa.com/images/flags/4/cro.png,2125,2,82,255,265,Dejan Lovren,Dejan Lovren,Dejan Lovren,975,88.5,36,68,6.99,,0.5,Croatia,603,4
1,Midfielder,0.9,26,28(1),7,Liverpool,10,//img.fifa.com/images/flags/4/sen.png,2207,1,638,4,-58,Sadio Mane,Sadio Mane,Sadio Mane,825,80.4,37,20,7.27,1,2.4,Senegal,584,3
1,Forward,3.2,25,33(1),7,Manchester United,16,//img.fifa.com/images/flags/4/bel.png,2869,2,768,-104,-148,Romelu Lukaku,Romelu Lukaku,Romelu Lukaku,1346,68.4,38,17,7.29,,2.5,Belgium,572,4
1,Goalkeeper,0.3,31,36,,Tottenham,,//img.fifa.com/images/flags/4/fra.png,3240,1,18,311,234,Hugo Lloris,Hugo Lloris,Hugo Lloris,1166,75.2,40,171,6.74,,,France,563,1
1,Defender,2.1,22,23(4),,Chelsea,,//img.fifa.com/images/flags/4/den.png,2071,,15,266,267,Andreas Christensen,Andreas Christensen,Andreas Christensen,1054,93.4,41,138,6.8,,0.4,Denmark,560,
1,Midfielder,0.1,26,36,7,Stoke,8,//img.fifa.com/images/flags/4/sui.png,3049,2,632,-54,-35,Xherdan Shaqiri,Xherdan Shaqiri,Xherdan Shaqiri,1179,79.5,46,110,6.87,,1.9,Switzerland,543,5
1,Defender,2.4,21,29(2),,Tottenham,,//img.fifa.com/images/flags/4/col.png,2535,,31,270,238,Davinson Sanchez,Davinson Sanchez,Davinson Sanchez,989,89.4,48,78,6.94,1,0.3,Colombia,539,1
1,Midfielder,2.4,24,32(2),2,Tottenham,,//img.fifa.com/images/flags/4/eng.png,2827,,148,119,262,Eric Dier,Eric Dier,Eric Dier,1040,86.3,50,75,6.96,,0.9,United Kingdom,529,4
1,Midfielder,0.1,23,15(20),4,Manchester City,6,//img.fifa.com/images/flags/4/por.png,1520,1,336,14,169,Bernardo Silva,Bernardo Silva,Bernardo Silva,1306,87,51,148,6.79,,0.7,Portugal,519,
1,Midfielder,0.2,25,20(13),5,Manchester United,8,//img.fifa.com/images/flags/4/eng.png,1823,1,437,-16,42,Jesse Lingard,Jesse Lingard,Jesse Lingard,1040,87.8,54,127,6.82,,1.7,United Kingdom,498,2
1,Goalkeeper,0.3,26,34(1),,Burnley,,//img.fifa.com/images/flags/4/eng.png,3114,,0,610,-121,Nick Pope,Nick Pope,Nick Pope,1040,39,55,83,6.93,,,United Kingdom,490,3
1,Midfielder,0.1,27,15(15),1,Manchester City,4,//img.fifa.com/images/flags/4/ger.png,1510,,350,-73,206,Ilkay Gundogan,Ilkay Gundogan,Ilkay Gundogan,1544,91.7,58,180,6.73,,1.2,Germany,483,3
1,Midfielder,0.1,25,23(4),6,West Ham,5,//img.fifa.com/images/flags/4/arg.png,2049,2,393,-59,123,Manuel Lanzini,Manuel Lanzini,Manuel Lanzini,1254,87.6,60,55,7.04,,1.6,Argentina,475,4
1,Defender,3.1,25,38,4,Leicester,2,//img.fifa.com/images/flags/4/eng.png,3420,1,339,169,-37,Harry Maguire,Harry Maguire,Harry Maguire,1040,78.4,62,49,7.08,,0.8,United Kingdom,471,7
1,Midfielder,0.2,22,3(3),1,Arsenal,,//img.fifa.com/images/flags/4/nga.png,335,,388,-27,107,Alex Iwobi,Alex Iwobi,Alex Iwobi,635,87.3,64,317,6.83,,1.3,Nigeria,468,
1,Defender,3.4,32,24(3),,Chelsea,,//img.fifa.com/images/flags/4/eng.png,2084,,53,189,225,Gary Cahill,Gary Cahill,Gary Cahill,1040,89,65,113,6.87,1,0.4,United Kingdom,467,1
1,Defender,,,,,,,//img.fifa.com/images/flags/4/eng.png,,,32,135,300,,John Stones,John Stones,1040,,67,,,,,United Kingdom,466,
1,Midfielder,1.4,27,35(1),1,Crystal Palace,10,//img.fifa.com/images/flags/4/srb.png,3082,1,465,29,-33,Luka Milivojevic,Luka Milivojevic,Luka Milivojevic,732,80.2,68,64,7.01,,1.2,Serbia,461,8
1,Defender,,,,,,,//img.fifa.com/images/flags/4/bel.png,,,78,75,304,,Vincent Kompany,Vincent Kompany,1346,,69,,,,,Belgium,458,
1,Goalkeeper,0.1,27,37,,Manchester United,,//img.fifa.com/images/flags/4/esp.png,3330,2,3,439,-1,David De Gea,David De Gea,David de Gea,1162,57.5,71,124,6.83,,,Spain,454,
1,Goalkeeper,0.1,26,35,,Chelsea,,//img.fifa.com/images/flags/4/bel.png,3150,,0,260,189,Thibaut Courtois,Thibaut Courtois,Thibaut Courtois,1346,70.4,73,211,6.63,,,Belgium,452,2
1,Midfielder,0.6,32,28(2),4,Manchester United,2,//img.fifa.com/images/flags/4/eng.png,2448,4,260,205,8,Ashley Young,Ashley Young,Ashley Young,1040,79.5,76,38,7.12,,0.6,United Kingdom,438,7
1,Midfielder,0.3,30,21(7),,Tottenham,,//img.fifa.com/images/flags/4/bel.png,1886,,251,-39,224,Mousa Dembele,Mousa Dembele,Mousa Dembele,1346,92.2,78,94,6.9,,0.4,Belgium,436,6
1,Defender,2.2,25,25(2),1,Chelsea,2,//img.fifa.com/images/flags/4/ger.png,2336,1,146,137,158,Antonio Rudiger,Antonio Rudiger,Antonio Rudiger,1544,89.5,81,87,6.92,,0.6,Germany,429,4
1,Forward,0.7,21,19(10),3,Manchester City,13,//img.fifa.com/images/flags/4/bra.png,1673,1,612,-125,-64,Gabriel Jesus,Gabriel Jesus,Gabriel Jesus,1384,79.7,83,54,7.05,,1.9,Brazil,423,6
1,Midfielder,0.9,27,34(2),3,Huddersfield,4,//img.fifa.com/images/flags/4/aus.png,3071,,355,176,-119,Aaron Mooy,Aaron Mooy,Aaron Mooy,700,79.5,87,114,6.86,,0.8,Australia,411,5
1,Defender,1.3,22,6,,Braga,,//img.fifa.com/images/flags/4/bra.png,509,,187,49,164,Danilo,Danilo,Danilo,1384,76.8,89,138,7.11,,1,Brazil,400,1
1,Defender,2.8,29,23(1),,Southampton,2,//img.fifa.com/images/flags/4/jap.png,2051,,133,197,61,Maya Yoshida,Maya Yoshida,Maya Yoshida,528,84.2,90,115,6.86,1,0.8,Japan,391,2
1,Forward,2.1,31,37,1,Leicester,20,//img.fifa.com/images/flags/4/eng.png,3258,,589,18,-221,Jamie Vardy,Jamie Vardy,Jamie Vardy,1040,60.5,93,71,6.98,,1.9,United Kingdom,387,3
1,Midfielder,0.8,22,34(2),10,Tottenham,9,//img.fifa.com/images/flags/4/eng.png,2972,1,509,90,-231,Dele Alli,Dele Alli,Dele Alli,1040,77.2,97,44,7.09,,1.9,United Kingdom,368,7
1,Forward,0.5,20,17(18),5,Manchester United,7,//img.fifa.com/images/flags/4/eng.png,1810,1,492,-30,-107,Marcus Rashford,Marcus Rashford,Marcus Rashford,1040,78.3,99,164,6.76,,1.7,United Kingdom,355,3
1,Midfielder,1.3,22,21(3),3,Crystal Palace,2,//img.fifa.com/images/flags/4/eng.png,1875,1,273,153,-106,Ruben Loftus-Cheek,Ruben Loftus-Cheek,Ruben Loftus-Cheek,1040,82.4,105,47,7.08,,1.3,United Kingdom,320,1
1,Defender,2.7,27,38,,West Bromwich Albion,2,//img.fifa.com/images/flags/4/egy.png,3387,3,115,354,-152,Ahmed Hegazi,Ahmed Hegazi,Ahmed Hegazi,636,73.2,106,70,6.98,,0.4,Egypt,318,4
1,Midfielder,1,27,25(2),1,Liverpool,1,//img.fifa.com/images/flags/4/eng.png,2173,,103,-9,203,Jordan Henderson,Jordan Henderson,Jordan Henderson,1040,84.4,111,77,6.95,,0.6,United Kingdom,298,1
1,Forward,2.3,31,6,,Arsenal,3,//img.fifa.com/images/flags/4/fra.png,540,,249,-11,20,Olivier Giroud,Olivier Giroud,Olivier Giroud,1166,64.7,121,93,7.21,,4.2,France,269,
1,Forward,1.6,27,9(1),,Arsenal,3,//img.fifa.com/images/flags/4/eng.png,762,1,251,68,-53,Danny Welbeck,Danny Welbeck,Danny Welbeck,1040,84.8,123,39,7.42,,2.1,United Kingdom,266,
1,Forward,0.5,25,23(9),3,Brighton,5,//img.fifa.com/images/flags/4/col.png,1989,,364,34,-143,Jose Izquierdo,Jose Izquierdo,Jose Izquierdo,989,78.4,126,212,6.62,,1.6,Colombia,254,2
1,Midfielder,1,28,3(1),2,Everton,,//img.fifa.com/images/flags/4/isl.png,303,,366,16,-147,Gylfi Sigurdsson,Gylfi Sigurdsson,Gylfi Sigurdsson,930,80,130,385,6.72,,1.5,Iceland,236,1
1,Defender,1.5,27,21(3),5,Tottenham,,//img.fifa.com/images/flags/4/eng.png,1914,,84,71,74,Kieran Trippier,Kieran Trippier,Kieran Trippier,1040,81.4,136,57,7.04,,0.3,United Kingdom,230,1
1,Midfielder,1,27,25(3),3,Chelsea,3,//img.fifa.com/images/flags/4/nga.png,2119,1,216,118,-112,Victor Moses,Victor Moses,Victor Moses,635,76.6,139,93,6.9,,1.3,Nigeria,227,3
1,Midfielder,0.3,25,9(3),2,Arsenal,1,//img.fifa.com/images/flags/4/egy.png,838,1,56,-25,188,Mohamed Elneny,Mohamed Elneny,Mohamed Elneny,636,93.5,142,195,7.01,,0.8,Egypt,220,
1,Defender,,,,,,,//img.fifa.com/images/flags/4/swe.png,,,2,69,95,,Victor Lindelof,Victor Lindelof,889,,158,,,,,Sweden,193,
1,Midfielder,0.2,29,34(2),3,Southampton,6,//img.fifa.com/images/flags/4/srb.png,2813,2,404,22,-233,Dusan Tadic,Dusan Tadic,Dusan Tadic,732,74.8,159,150,6.78,,1.1,Serbia,193,4
1,Midfielder,,,,,,,//img.fifa.com/images/flags/4/bel.png,,,117,56,7,,Marouane Fellaini,Marouane Fellaini,1346,,164,,,,,Belgium,180,
1,Goalkeeper,0.4,33,38,,Swansea,,//img.fifa.com/images/flags/4/pol.png,3420,3,0,186,-20,Lukasz Fabianski,Lukasz Fabianski,Lukasz Fabianski,1128,53.4,180,97,6.89,,,Poland,157,
1,Midfielder,1,28,20(7),2,West Bromwich Albion,,//img.fifa.com/images/flags/4/pol.png,1643,,84,93,-22,Grzegorz Krychowiak,Grzegorz Krychowiak,Grzegorz Krychowiak,1128,78.4,181,213,6.62,,0.6,Poland,155,2
1,Defender,,,,,,,//img.fifa.com/images/flags/4/bel.png,,,14,60,80,,Toby Alderweireld,Toby Alderweireld,1346,,184,,,,,Belgium,153,
1,Midfielder,4.1,30,30(5),2,Stoke,6,//img.fifa.com/images/flags/4/sen.png,2602,2,290,141,-283,Mame Biram Diouf,Mame Biram Diouf,Mame Biram Diouf,825,57.3,188,162,6.76,,1.7,Senegal,148,6
1,Defender,2.1,34,7,,Dalian Yifang,,//img.fifa.com/images/flags/4/por.png,621,,36,58,21,Jose Fonte,Jose Fonte,Jose Fonte,1306,81.4,206,133,6.58,,0.9,Portugal,115,
1,Goalkeeper,0.1,29,10,,Arsenal,,//img.fifa.com/images/flags/4/col.png,900,1,0,66,21,David Ospina,David Ospina,David Ospina,989,74,230,240,6.94,,,Colombia,87,
1,Forward,1.1,32,17(10),2,Leicester,6,//img.fifa.com/images/flags/4/jap.png,1330,1,301,-55,-182,Shinji Okazaki,Shinji Okazaki,Shinji Okazaki,528,73.3,255,230,6.58,,1,Japan,63,2
1,Midfielder,,,,,,,//img.fifa.com/images/flags/4/por.png,,,88,29,-59,,Joao Mario,Joao Mario,1306,,260,,,,,Portugal,59,
1,Midfielder,0.5,21,12(12),,Stoke,2,//img.fifa.com/images/flags/4/egy.png,1234,,121,-28,-35,Ramadan Sobhi,Ramadan Sobhi,Ramadan Sobhi,636,77,262,267,6.46,,0.5,Egypt,57,2
1,Forward,4.1,23,18(2),1,Fulham,12,//img.fifa.com/images/flags/4/srb.png,1653,6,51,5,-1,Aleksandar Mitrovic,Aleksandar Mitrovic,Aleksandar Mitrovic,732,77.1,263,4,7.52,,4.1,Serbia,55,3
1,Defender,,,,,,,//img.fifa.com/images/flags/4/fra.png,,,28,17,6,,Benjamin Mendy,Benjamin Mendy,1166,,266,,,,,France,52,
1,Forward,1.3,24,4,,Borussia Dortmund,2,//img.fifa.com/images/flags/4/bel.png,331,,112,10,-72,Michy Batshuayi,Michy Batshuayi,Michy Batshuayi,1346,73.8,267,249,6.93,,2.8,Belgium,50,1
1,Goalkeeper,0.2,30,19,,Liverpool,,//img.fifa.com/images/flags/4/bel.png,1710,,3,-89,114,Simon Mignolet,Simon Mignolet,Simon Mignolet,1346,69.5,298,261,6.49,,,Belgium,29,3
1,Defender,,,,,,,//img.fifa.com/images/flags/4/pol.png,,,36,8,-21,,Jan Bednarek,Jan Bednarek,1128,,312,,,,,Poland,23,
1,Defender,,,,,,,//img.fifa.com/images/flags/4/arg.png,,,45,-58,33,,Marcos Rojo,Marcos Rojo,1254,,318,,,,,Argentina,19,
1,Goalkeeper,,,,,,,//img.fifa.com/images/flags/4/arg.png,,,0,11,4,,Willy Caballero,Willy Caballero,1254,,326,,,,,Argentina,15,
1,Midfielder,3.5,21,33,3,Leicester,,//img.fifa.com/images/flags/4/nga.png,2899,2,278,-26,-240,Wilfred Ndidi,Wilfred Ndidi,Wilfred Ndidi,635,76.1,328,32,7.14,2,1.2,Nigeria,12,6
1,Forward,0.3,21,7(14),3,Leicester,3,//img.fifa.com/images/flags/4/nga.png,827,,159,-91,-59,Kelechi Iheanacho,Kelechi Iheanacho,Kelechi Iheanacho,635,79.3,335,263,6.48,,1.4,Nigeria,9,2
1,Midfielder,,,,,,,//img.fifa.com/images/flags/4/srb.png,,,0,7,-3,,Marko Grujic,Marko Grujic,732,,347,,,,,Serbia,4,
1,Midfielder,,,,,,,//img.fifa.com/images/flags/4/bel.png,,,46,-29,-13,,Nacer Chadli,Nacer Chadli,1346,,349,,,,,Belgium,4,
1,Midfielder,3.7,28,32(1),3,West Ham,2,//img.fifa.com/images/flags/4/sen.png,2803,2,150,55,-160,Cheikhou Kouyate,Cheikhou Kouyate,Cheikhou Kouyate,825,76,371,136,6.8,,0.7,Senegal,-2,5
1,Defender,,,,,,,//img.fifa.com/images/flags/4/eng.png,,,9,4,-33,,Danny Rose,Danny Rose,1040,,404,,,,,United Kingdom,-21,
1,Midfielder,0.5,26,16(12),2,Watford,1,//img.fifa.com/images/flags/4/per.png,1537,1,225,-22,-234,Andre Carrillo,Andre Carrillo,Andre Carrillo,1106,76.6,422,214,6.62,,0.9,Peru,-31,2
1,Defender,1,26,32,3,Southampton,,//img.fifa.com/images/flags/4/por.png,2797,,79,70,-189,Cedric Soares,Cedric Soares,Cedric Soares,1306,73.3,434,233,6.57,,0.7,Portugal,-40,3
1,Forward,0.4,31,17(13),4,Leganes,2,//img.fifa.com/images/flags/4/mar.png,1624,,-3,-6,-34,Nordin Amrabat,Nordin Amrabat,Nordin Amrabat,681,69.3,437,278,6.36,1,1.2,Morocco,-44,5
1,Midfielder,,,,,,,//img.fifa.com/images/flags/4/por.png,,,41,-66,-23,,Adrien Silva,Adrien Silva,1306,,442,,,,,Portugal,-49,
1,Forward,,,,,,,//img.fifa.com/images/flags/4/sen.png,,,46,-15,-97,,Diafra Sakho,Diafra Sakho,825,,458,,,,,Senegal,-66,
1,Goalkeeper,0.2,25,35,,Stoke,,//img.fifa.com/images/flags/4/eng.png,3150,2,-34,124,-158,Jack Butland,Jack Butland,Jack Butland,1040,46.1,460,158,6.76,,,United Kingdom,-68,
1,Goalkeeper,0.4,31,33,,Leicester,,//img.fifa.com/images/flags/4/den.png,2966,3,-23,57,-108,Kasper Schmeichel,Kasper Schmeichel,Kasper Schmeichel,1054,49.6,463,220,6.61,,,Denmark,-74,3
1,Goalkeeper,0.3,26,38,,Brighton,,//img.fifa.com/images/flags/4/aus.png,3420,1,0,65,-147,Mat Ryan,Mat Ryan,Mat Ryan,700,48,470,177,6.74,,,Australia,-83,
1,Goalkeeper,0.5,24,38,,Everton,,//img.fifa.com/images/flags/4/eng.png,3420,,-2,17,-109,Jordan Pickford,Jordan Pickford,Jordan Pickford,1040,44.5,477,210,6.63,,,United Kingdom,-94,
1,Goalkeeper,0.4,29,38,1,Huddersfield,,//img.fifa.com/images/flags/4/den.png,3420,1,-6,-152,1,Jonas Lossl,Jonas Lossl,Jonas Lossl,1054,56.4,490,238,6.57,,,Denmark,-157,1
1,Defender,1.3,30,36,1,Swansea,,//img.fifa.com/images/flags/4/swe.png,3154,,46,-97,-275,Martin Olsson,Martin Olsson,Martin Olsson,889,73.5,500,281,6.32,,0.5,Sweden,-343,7
1,Forward,0.2,26,20,13,Paris Saint Germain,19,//img.fifa.com/images/flags/4/bra.png,1788,12,1541,-21,149,Neymar,Neymar,Neymar,1384,79.6,1,1,8.95,1,4.5,Brazil,1669,4
1,Forward,0.3,31,30(2),6,Paris Saint Germain,28,//img.fifa.com/images/flags/4/uru.png,2589,2,1136,1,69,Edinson Cavani,Edinson Cavani,Edinson Cavani,976,80.2,2,4,7.69,,3.3,Uruguay,1206,3
1,Midfielder,0.6,25,9(3),2,Marseille,3,//img.fifa.com/images/flags/4/fra.png,761,,1333,-22,-230,Florian Thauvin,Florian Thauvin,Florian Thauvin,1166,74.7,3,183,7.01,,1.7,France,1080,2
1,Forward,0.3,24,8,1,Lyon,3,//img.fifa.com/images/flags/4/fra.png,660,3,1092,-49,-50,Nabil Fekir,Nabil Fekir,Nabil Fekir,1166,85.9,5,8,7.73,,2.5,France,993,2
1,Midfielder,,30,26(4),6,Paris Saint Germain,11,//img.fifa.com/images/flags/4/arg.png,2122,3,883,-99,118,Angel Di Maria,Angel Di Maria,Angel Di Maria,1254,79.4,6,13,7.37,,3.2,Argentina,902,1
1,Defender,1.9,33,24(1),,Paris Saint Germain,1,//img.fifa.com/images/flags/4/bra.png,2117,,63,316,494,Thiago Silva,Thiago Silva,Thiago Silva,1384,96.1,7,55,7.08,,0.4,Brazil,873,5
1,Goalkeeper,0.2,25,34,,Paris Saint Germain,,//img.fifa.com/images/flags/4/fra.png,3060,2,0,497,325,Alphonse Areola,Alphonse Areola,Alphonse Areola,1166,91.1,9,106,6.88,,,France,821,
1,Defender,3.9,31,10,,Lyon,1,//img.fifa.com/images/flags/4/bra.png,900,,167,310,334,Marcelo,Marcelo,Marcelo,1384,85,10,110,7.19,,0.2,Brazil,811,2
1,Forward,0.3,19,24(3),8,Paris Saint Germain,13,//img.fifa.com/images/flags/4/fra.png,2097,7,819,18,-40,Kylian Mbappe,Kylian Mbappe,Kylian Mbappe,1166,83.1,11,5,7.54,,2.9,France,797,2
1,Midfielder,0.3,24,19(11),5,Paris Saint Germain,4,//img.fifa.com/images/flags/4/ger.png,1706,,422,15,259,Julian Draxler,Julian Draxler,Julian Draxler,1544,92.8,19,61,7.04,,0.8,Germany,696,1
1,Defender,0.4,28,3(2),1,America MG,1,//img.fifa.com/images/flags/4/bra.png,256,,78,246,361,Marquinhos,Marquinhos,Marquinhos,1384,71.2,21,126,6.88,,1.2,Brazil,685,
1,Defender,1.1,22,27(1),,Paris Saint Germain,,//img.fifa.com/images/flags/4/fra.png,2425,,87,220,331,Presnel Kimpembe,Presnel Kimpembe,Presnel Kimpembe,1166,95.3,24,120,6.84,2,0.4,France,638,6
1,Defender,2.7,30,36,3,Monaco,3,//img.fifa.com/images/flags/4/pol.png,3240,1,217,319,64,Kamil Glik,Kamil Glik,Kamil Glik,1128,81.1,27,42,7.12,,0.7,Poland,600,8
1,Goalkeeper,0.1,27,10,,Lyon,,//img.fifa.com/images/flags/4/por.png,900,,0,367,226,Anthony Lopes,Anthony Lopes,Anthony Lopes,1306,65.5,29,325,6.81,,,Portugal,593,
